Order,DES Station ID,DES Alias ID,Station Name,Town,Station Type,Latitude DecDeg,Longitude DecDeg,Description,Waterbody#,Sample Date,EPA Designation,Depth,Date Filtered sample brought EPA,Date Unfiltered sample brought EPA,Filtered-DES,Unfiltered-DES?
49,,does not exist in EMD,Bear camp WL#3,SANDWICH,LAKE/POND,43.814835,-71.373625,,12,8/6/2014,WL#3,3.0,13-Aug,13-Aug,11/6/2014,11/6/2014
50,,does not exist in EMD,Bear camp SS#2,SANDWICH,LAKE/POND,43.813147,-71.3712,,12,8/6/2014,SS#2,1.0,13-Aug,13-Aug,11/6/2014,11/6/2014
51,ROCCROD,,ROCKYBOUND POND-DEEP SPOT,CROYDON,LAKE/POND,43.446417,-72.145056,DEEP SPOT,13,8/7/2014,WL#1,3.0,?,?,,?
52,Rockybound SS#1,,,CROYDON,LAKE/POND,,,,13,8/7/2014,SS#1,1.0,?,?,,?
53,Rockybound SS#2,,,CROYDON,LAKE/POND,,,,13,8/7/2014,SS#2,1.0,?,?,,?
54,BEELTUFD,,LOWER BEECH POND-DEEP SPOT,TUFTONBORO,LAKE/POND,43.672189,-71.207289,DEEP SPOT,14,8/11/2014,WL#1,3.0,13-Aug,13-Aug,11/6/2014,11/6/2014
55,,does not exist in EMD,Lower Beech Inlet SS#1,TUFTONBORO,LAKE/POND,43.677122,-71.205826,Beach sample,14,8/11/2014,SS#1,1.0,13-Aug,13-Aug,11/6/2014,11/6/2014
56,,does not exist in EMD,LowerBeech Outlet SS#2,TUFTONBORO,LAKE/POND,43.663277,-71.205311,Beach sample,14,8/11/2014,SS#2,1.0,13-Aug,13-Aug,11/6/2014,11/6/2014
57,Gardner Lake SS#1,,,BATH,LAKE/POND,44.1638,-72.0106,Beach sample,15,8/11/2014,SS#1,1.0,?,,,?
58,Gardner Lake SS#2,,,BATH,LAKE/POND,44.16327,-72.007627,Beach sample,15,8/11/2014,SS#2,1.0,?,,,?
59,GARBATD,,GARDNER LAKE-DEEP SPOT,BATH,LAKE/POND,44.1634,-72.009,DEEP SPOT,15,8/11/2014,WL#1,3.0,?,,,?
