Order,YourName,Organization,SiteID,WaterbodyName,State,SiteLocation,SampleYear,SampleMonth,SampleDay,NameOfSamplers,WeatherConditions,SampleLocation,SampleMethod,Depth,Latitude,Longitude,SampleHour,SampleMinutes,Filtered,Frozen,Parameter,Value,Units,Fluorometer,AnalysisYear,AnalysisMonth,AnalysisDay,AnalysisHour,AnalysisMinutes,GPSType,Photos,Flag,Comments,Phycocyanin_mg/l_Beagle_Fresh_Unfiltered,Chlorophyll_mg/l_Beagle_Fresh_Unfiltered,Phycocyanin_RFU_Turner_Fresh_Unfiltered,Chlorophyll_RFU_Turner_Fresh_Unfiltered,Phycocyanin_mg/l_Beagle_Fresh_Filtered,Chlorophyll_mg/l_Beagle_Fresh_Filtered,Phycocyanin_RFU_Turner_Fresh_Filtered,Chlorophyll_RFU_Turner_Fresh_Filtered,Phycocyanin_mg/l_Beagle_Frozen_Unfiltered,Chlorophyll_mg/l_Beagle_Frozen_Unfiltered,Phycocyanin_RFU_Turner_Frozen_Unfiltered,Chlorophyll_RFU_Turner_Frozen_Unfiltered,Phycocyanin_mg/l_Beagle_Frozen_Filtered,Chlorophyll_mg/l_Beagle_Frozen_Filtered,Phycocyanin_RFU_Turner_Frozen_Filtered,Chlorophyll_RFU_Turner_Frozen_Filtered
61,SonyaCarlson,NHDES,Little Sunapee SS#1,LITTLE SUNAPEE LAKE,CT,,2014,8,12,,"Clear, breezy, warm",SS1,,1,43.435067,-72.019467,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
62,SonyaCarlson,NHDES,Little Sunapee WL#2,LITTLE SUNAPEE LAKE,CT,,2014,8,12,,"Clear, breezy, warm",WL2,,3,43.435,-72.014417,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
63,SonyaCarlson,NHDES,Little Sunapee WL#3,LITTLE SUNAPEE LAKE,CT,,2014,8,12,,"Clear, breezy, warm",WL3,,3,43.4319,-72.022417,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
64,SonyaCarlson,NHDES,SILHARD,SILVER LAKE,CT,SILVER LAKE- DEEP SPOT,2014,8,14,,"Cloudy, breezy, cool",WL1,,3,42.961194,-72.14,,,,,,,,,,,,,,,,FALSE,,3.5,0,0.002,1.066,1.5,0,-0.082,-1.383,3,0.2,0.117,-0.801,3.5,0.11,-0.27,-1.675
65,SonyaCarlson,NHDES,SILHARO,SILVER LAKE,CT,SILVER LAKE-OUTLET IN STREAM,2014,8,14,,"Cloudy, breezy, cool",SS2,,1,42.949389,-72.1328,,,,,,,,,,,,,,,,FALSE,,6,0.2,0.039,3.413,1.5,0.08,-0.099,-0.494,3,0.28,0.197,0.118,5.5,0.28,0.034,-1.538
66,SonyaCarlson,NHDES,SILHARSB1,SILVER LAKE,CT,SILVER LAKE-SANDY BCH INLET 1,2014,8,14,,"Cloudy, breezy, cool",SS1,,1,42.972111,-72.138703,,,,,,,,,,,,,,,,FALSE,,6,0.01,0.7,1.581,5.5,0,-0.038,-1.17,6,0.14,0.056,-1.313,0.1,0.14,-0.067,-2.857
67,SonyaCarlson,NHDES,Silver Lake WL#2,SILVER LAKE,CT,Silver Lake WL#2,2014,8,14,,"Cloudy, breezy, cool",WL2,,3,42.971089,-72.139535,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,2.5,0,0.038,0.418,2.5,0,-0.048,0.418,0.1,0.17,0.127,-2.385,1,0.14,-0.119,-3.461
68,SonyaCarlson,NHDES,Silver Lake WL#3,SILVER LAKE,CT,Silver Lake WL#3,2014,8,14,,"Cloudy, breezy, cool",WL3,,3,42.951554,-72.13563,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,5,0,-0.024,0.556,7,0,-0.018,-1.549,0.1,0.14,0.07,-2.461,0.1,0.11,-0.08,-3.151
69,SonyaCarlson,NHDES,ARMPIED,ARMINGTON LAKE,CT,ARMINGTON LAKE-DEEP SPOT,2014,8,14,,,WL1,,3,43.958389,-71.9692,,,,,,,,,,,,,,,,FALSE,,4.5,0.37,0.215,13.2,2.5,0.17,0.027,2.474,3.5,0,0.485,1.584,2.5,0.02,0.152,-0.609
70,SonyaCarlson,NHDES,TARPIED,TARLETON LAKE,CT,TARLETON LAKE-DEEP SPOT,2014,8,14,,"Cloudy, calm, cool",WL1,,7,43.977,-71.963278,,,,,,,,,,,,,,,,FALSE,,27,0.23,0.205,6.315,5,0.23,0.018,0.312,3.5,0.08,0.477,1.443,3,0.08,0.226,-0.231
71,SonyaCarlson,NHDES,CANCAND,CANAAN STREET LAKE,CT,CANAAN STREET LAKE-DEEP SPOT,2014,8,14,,"Cloudy, windy, cool",WL1,,3,43.664194,-72.0339,,,,,,,,,,,,,,,,FALSE,,6,0.38,0.215,7.32,5,0.23,0.006,0.356,1,0,0.404,0.354,3.5,0.05,0.208,-1.143
72,SonyaCarlson,NHDES,Canaan St. Lake WL#2,CANAAN STREET LAKE,CT,Canaan St. Lake WL#2,2014,8,14,,"Cloudy, windy, cool",WL2,,3,43.667996,-72.035809,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,8.5,0.65,0.227,17.81,7,0.16,-0.006,0.614,3,0.04,0.269,0.153,1,0,0.137,-1.442
73,SonyaCarlson,NHDES,Eastman Pond WL#1,EASTMAN POND,CT,,2014,8,18,,"Cloudy, breezy, cool",WL1,,3,43.518283,-72.1151,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
74,SonyaCarlson,NHDES,Eastman Pond WL#2,EASTMAN POND,CT,,2014,8,18,,"Cloudy, breezy, cool",WL2,,3,43.5318,-72.11845,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
75,SonyaCarlson,NHDES,EASGTM8,EASTMAN POND,CT,EASTMAN POND-NORTH COVE BEACH,2014,8,18,,"Cloudy, breezy, cool",SS1,,1,43.5354,-72.1125,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
76,SonyaCarlson,NHDES,EASGTMWCB,EASTMAN POND,CT,EASTMAN POND-WEST COVE B BEACH,2014,8,18,,"Cloudy, breezy, cool",SS2,,1,43.526308,-72.12274,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
