YourName,Organization,SiteID,WaterbodyName,State,SiteLocation,SampleDate,NameOfSamplers,WeatherConditions,TypeOfSample,Depth,Latitude,Longitude,SampleTime,Filtered?,Frozen?,Parameter,Value,AnalysisDate,AnalysisTime,Fluorometer,GPSType,Photos?,Flag?,Comments,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-2,6,43.222912,-71.081729,,No,Yes,Phycocyanin,12.06,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-3,6,43.222912,-71.081729,,No,Yes,Phycocyanin,12.06,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-1,7,43.222912,-71.081729,,No,Yes,Phycocyanin,16.72,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-2,7,43.222912,-71.081729,,No,Yes,Phycocyanin,16.72,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-3,7,43.222912,-71.081729,,No,Yes,Phycocyanin,16.72,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-1,8,43.222912,-71.081729,,No,Yes,Phycocyanin,2.58,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-2,8,43.222912,-71.081729,,No,Yes,Phycocyanin,2.05,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-3,8,43.222912,-71.081729,,No,Yes,Phycocyanin,1.52,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-1,9,43.222912,-71.081729,,No,Yes,Phycocyanin,6.82,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
"Ryan Brown, Amanda Murby",UNH Center for Freshwater Biology,,Nippo,NH,,08/18/14,"LLMP, Bob Craycraft",,WL-2,9,43.222912,-71.081729,,No,Yes,Phycocyanin,7.35,10/19/14,,,GoogleEarth,No,No,,,,,,,,,,,,,,,,,,,
